match_id,league,date,matchday,team_home,team_away,stadium,capacity,home_city,away_city,home_station,home_lat,home_lon,away_station,away_lat,away_lon
77582,bl2,2025-08-02T13:00:00,1. Spieltag,SV Darmstadt 98,VfL Bochum,Merck-Stadion am Böllenfalltor,17810,Darmstadt,Bochum,Darmstadt Hauptbahnhof,49.8728528,8.6294113,Bochum Hauptbahnhof,51.4785335,7.2232341
77584,bl2,2025-08-02T20:30:00,1. Spieltag,Arminia Bielefeld,Fortuna Düsseldorf,SchücoArena,27332,Bielefeld,Düsseldorf,Bielefeld Hauptbahnhof,52.0293323,8.5327135,Düsseldorf Hauptbahnhof,51.219734,6.7943015
77579,bl2,2025-08-03T13:30:00,1. Spieltag,1. FC Magdeburg,Eintracht Braunschweig,Avnet-Arena,30098,Magdeburg,Braunschweig,Magdeburg Hauptbahnhof,52.1305167,11.6267187,Braunschweig Hauptbahnhof,52.2527622,10.5398097
77581,bl2,2025-08-03T13:30:00,1. Spieltag,Hannover 96,1. FC Kaiserslautern,Heinz-von-Heiden-Arena,49000,Hannover,Kaiserslautern,Hannover Hauptbahnhof,52.3769504,9.7416533,Kaiserslautern Hauptbahnhof,49.4352378,7.7662774
77583,bl2,2025-08-03T13:30:00,1. Spieltag,SpVgg Greuther Fürth,Dynamo Dresden,Sportpark Ronhof | Thomas Sommer,16626,Fürth,Dresden,Fürth Hauptbahnhof,49.4703063,10.9912982,Dresden Hauptbahnhof,51.0403927,13.731467
77589,bl2,2025-08-08T18:30:00,2. Spieltag,1. FC Nürnberg,SV Darmstadt 98,Max-Morlock-Stadion,50000,Nürnberg,Darmstadt,Nürnberg Hauptbahnhof,49.4462031,11.0818654,Darmstadt Hauptbahnhof,49.8728528,8.6294113
77591,bl2,2025-08-08T18:30:00,2. Spieltag,Preußen Münster,SC Paderborn 07,LVM-Preußenstadion,12794,Münster,Paderborn,Münster Hauptbahnhof,51.9564055,7.635792,Paderborn Hauptbahnhof,51.7128598,8.7404385
77587,bl2,2025-08-09T13:00:00,2. Spieltag,Fortuna Düsseldorf,Hannover 96,MERKUR SPIEL-ARENA,54600,Düsseldorf,Hannover,Düsseldorf Hauptbahnhof,51.219734,6.7943015,Hannover Hauptbahnhof,52.3769504,9.7416533
77592,bl2,2025-08-09T13:00:00,2. Spieltag,Eintracht Braunschweig,SpVgg Greuther Fürth,EINTRACHT-Stadion,23325,Braunschweig,Fürth,Braunschweig Hauptbahnhof,52.2527622,10.5398097,Fürth Hauptbahnhof,49.4703063,10.9912982
77593,bl2,2025-08-09T13:00:00,2. Spieltag,Dynamo Dresden,1. FC Magdeburg,Rudolf-Harbig-Stadion,32123,Dresden,Magdeburg,Dresden Hauptbahnhof,51.0403927,13.731467,Magdeburg Hauptbahnhof,52.1305167,11.6267187
